category,dataset_id,productType,resolution,year,format,items_found,bbox
TCF,EO:EEA:DAT:HRL:TCF,Dominant Leaf Type,20m,2015,,28,False
TCF,EO:EEA:DAT:HRL:TCF,Dominant Leaf Type,20m,2012,,28,False
TCF,EO:EEA:DAT:HRL:TCF,Dominant Leaf Type,10m,2019,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Dominant Leaf Type,10m,2020,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Dominant Leaf Type,10m,2018,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Dominant Leaf Type,10m,2021,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Dominant Leaf Type,10m,2022,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Dominant Leaf Type,10m,2023,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Forest Type,100m,2015,,28,False
TCF,EO:EEA:DAT:HRL:TCF,Forest Type,100m,2012,,28,False
TCF,EO:EEA:DAT:HRL:TCF,Forest Type,100m,2018,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Forest Type,100m,2021,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Forest Type,20m,2015,,28,False
TCF,EO:EEA:DAT:HRL:TCF,Forest Type,20m,2012,,28,False
TCF,EO:EEA:DAT:HRL:TCF,Forest Type,10m,2018,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Forest Type,10m,2021,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Tree Cover Density,100m,2015,,28,False
TCF,EO:EEA:DAT:HRL:TCF,Tree Cover Density,100m,2012,,28,False
TCF,EO:EEA:DAT:HRL:TCF,Tree Cover Density,100m,2018,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Tree Cover Density,100m,2021,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Tree Cover Density,100m,2020,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Tree Cover Density,100m,2019,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Tree Cover Density,100m,2023,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Tree Cover Density,100m,2022,,850,True
TCF,EO:EEA:DAT:HRL:TCF,Tree Cover Density,20m,2015,,28,False
TCF,EO:EEA:DAT:HRL:TCF,Tree Cover Density,20m,2012,,28,False
TCF,EO:EEA:DAT:HRL:TCF,Tree Cover Density,10m,2018,,850,True
